Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,187086096,2400.219735650996,3127226,40.12072368563896,372970,4042921,51.86862616384844,57411,0.7365540154489065,7469,
United States of America,Americas,33518946,10126.49,132154,39.93,4000,601980,181.87,1574,0.48,36,Community transmission
India,South-East Asia,30907282,2239.65,287350,20.82,32906,410784,29.77,7503,0.54,2020,Clusters of cases
Brazil,Americas,19089940,8980.99,320132,150.61,20937,533488,250.98,9071,4.27,595,Community transmission
Russian Federation,Europe,5833175,3997.12,174503,119.58,24702,144492,99.01,5176,3.55,780,Clusters of cases
France,Europe,5700017,8763.95,24315,37.39,1120,110400,169.74,141,0.22,24,Community transmission
Turkey,Europe,5486959,6505.83,37495,44.46,5404,50278,59.61,319,0.38,49,Community transmission
The United Kingdom,Europe,5155247,7593.98,224709,331.01,33998,128431,189.19,200,0.29,6,Community transmission
Argentina,Americas,4647948,10284.03,112475,248.86,8850,98781,218.56,2877,6.37,280,Community transmission
Colombia,Americas,4511960,8867.34,161465,317.33,19423,112826,221.74,3930,7.72,528,Community transmission
Italy,Europe,4272163,7163.07,8366,14.03,887,127788,214.26,108,0.18,13,Clusters of cases
Spain,Europe,3971124,8389.83,99756,210.76,4682,81020,171.17,26,0.05,2,Community transmission
Germany,Europe,3737135,4493.55,5571,6.7,646,91259,109.73,197,0.24,26,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,3394279,4041.15,123436,146.96,20829,86041,102.44,1092,1.3,182,Community transmission
Poland,Europe,2880959,7589.83,556,1.46,94,75173,198.04,78,0.21,13,Community transmission
Indonesia,South-East Asia,2615529,956.24,270511,98.9,47899,68219,24.94,6351,2.32,864,Community transmission
Mexico,Americas,2590500,2009.19,50432,39.11,3779,234969,182.24,1347,1.04,62,Community transmission
Ukraine,Europe,2241698,5125.78,3334,7.62,481,52640,120.36,136,0.31,36,Community transmission
South Africa,Africa,2206781,3720.84,131372,221.51,11182,64509,108.77,2338,3.94,220,Community transmission
Peru,Americas,2080777,6310.77,15664,47.51,1962,194387,589.55,1157,3.51,138,Community transmission
Netherlands,Europe,1736879,9977.71,46333,266.17,8522,17766,102.06,9,0.05,1,Community transmission
Czechia,Europe,1669745,15613.94,1496,13.99,249,30333,283.65,2,0.02,2,Community transmission
Chile,Americas,1589623,8315.58,17015,89.01,2145,33980,177.75,731,3.82,103,Community transmission
Philippines,Western Pacific,1478061,1348.83,36343,33.17,5198,26015,23.74,823,0.75,100,Community transmission
Iraq,Eastern Mediterranean,1438511,3576.38,59006,146.7,9149,17592,43.74,247,0.61,44,Community transmission
Canada,Americas,1420531,3763.78,3562,9.44,253,26436,70.04,76,0.2,8,Community transmission
Belgium,Europe,1097029,9520.8,6035,52.38,0,25205,218.75,10,0.09,0,Community transmission
Sweden,Europe,1092540,10578.85,1304,12.63,0,14643,141.79,1,0.01,0,Community transmission
Romania,Europe,1081326,5594.37,296,1.53,51,34233,177.11,21,0.11,8,Community transmission
Bangladesh,South-East Asia,1047155,635.84,80749,49.03,12198,16842,10.23,1450,0.88,203,Community transmission
Pakistan,Eastern Mediterranean,975092,441.43,11432,5.18,1808,22597,10.23,170,0.08,15,Community transmission
Portugal,Europe,909756,8836.09,19185,186.34,1782,17164,166.71,47,0.46,8,Clusters of cases
Israel,Europe,847108,9786.89,3054,35.28,100,6439,74.39,7,0.08,0,Community transmission
Malaysia,Western Pacific,844870,2610.36,59831,184.86,8574,6260,19.34,686,2.12,102,Community transmission
Japan,Western Pacific,822280,650.14,14329,11.33,1565,14959,11.83,97,0.08,4,Clusters of cases
Hungary,Europe,808556,8276.31,262,2.68,17,30010,307.18,12,0.12,3,Community transmission
Jordan,Eastern Mediterranean,757690,7426.05,3914,38.36,767,9843,96.47,58,0.57,7,Community transmission
Serbia,Europe,717667,10360.87,684,9.87,118,7073,102.11,14,0.2,1,Community transmission
Switzerland,Europe,702614,8118.37,1611,18.61,0,10314,119.17,2,0.02,0,Community transmission
Nepal,South-East Asia,658778,2260.98,10693,36.7,1639,9412,32.3,149,0.51,12,Community transmission
United Arab Emirates,Eastern Mediterranean,651762,6589.84,10713,108.32,1542,1870,18.91,31,0.31,4,Community transmission
Austria,Europe,647379,7273.05,626,7.03,87,10513,118.11,9,0.1,1,Community transmission
Lebanon,Eastern Mediterranean,547961,8028.21,2290,33.55,150,7877,115.41,14,0.21,2,Community transmission
Morocco,Eastern Mediterranean,543119,1471.45,8322,22.55,657,9384,25.42,55,0.15,15,Community transmission
Kazakhstan,Europe,520336,2771.18,20581,109.61,0,8173,43.53,239,1.27,0,Clusters of cases
Saudi Arabia,Eastern Mediterranean,502439,1443.21,8407,24.15,1244,7992,22.96,101,0.29,16,Community transmission
Tunisia,Eastern Mediterranean,501923,4246.88,54762,463.35,4310,16494,139.56,1012,8.56,106,Community transmission
Ecuador,Americas,468414,2654.95,5765,32.68,68,21830,123.73,135,0.77,0,Community transmission
Bolivia (Plurinational State of),Americas,454241,3891.37,9273,79.44,646,17219,147.51,268,2.3,19,Community transmission
Greece,Europe,440872,4113.16,13909,129.77,2063,12802,119.44,59,0.55,10,Community transmission
Paraguay,Americas,437719,6136.93,8976,125.85,1095,13918,195.13,572,8.02,51,Community transmission
Belarus,Europe,428595,4535.72,6631,70.17,689,3266,34.56,72,0.76,9,Community transmission
Bulgaria,Europe,422545,6078.49,394,5.67,83,18144,261.01,19,0.27,4,Clusters of cases
Panama,Americas,415480,9629.26,7357,170.51,833,6632,153.7,58,1.34,5,Community transmission
Slovakia,Europe,391953,7181.42,233,4.27,28,12522,229.43,9,0.16,1,Clusters of cases
Costa Rica,Americas,380482,7469.05,6848,134.43,0,4773,93.7,55,1.08,0,Community transmission
Georgia,Europe,379674,9517.61,8381,210.09,1863,5479,137.35,96,2.41,11,Community transmission
Kuwait,Eastern Mediterranean,377364,8836.38,11715,274.32,1770,2136,50.02,107,2.51,19,Community transmission
Uruguay,Americas,376579,10840.77,3870,111.41,298,5815,167.4,126,3.63,8,Community transmission
Croatia,Europe,360924,8893.77,582,14.34,83,8231,202.83,10,0.25,2,Community transmission
Thailand,South-East Asia,353712,506.75,59059,84.61,8685,2847,4.08,514,0.74,56,Clusters of cases
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,344065,6744.5,655,12.84,62,3850,75.47,9,0.18,0,Community transmission
Azerbaijan,Europe,337323,3326.93,844,8.32,69,4987,49.19,9,0.09,3,Clusters of cases
Dominican Republic,Americas,334544,3083.95,5013,46.21,863,3893,35.89,36,0.33,2,Community transmission
Guatemala,Americas,319157,1781.45,16623,92.79,616,9721,54.26,223,1.24,8,Community transmission
Denmark,Europe,300071,5153.41,4417,75.86,848,2539,43.6,2,0.03,0,Community transmission
Oman,Eastern Mediterranean,286072,5601.98,9336,182.82,1167,3435,67.27,119,2.33,12,Community transmission
Venezuela (Bolivarian Republic of),Americas,284942,1002.05,7307,25.7,1200,3290,11.57,100,0.35,12,Community transmission
Egypt,Eastern Mediterranean,283212,276.75,955,0.93,110,16403,16.03,119,0.12,7,Clusters of cases
